codec,wrapper,level,dataset,source_kind,family,size_class,input_bytes,compressed_bytes,ratio,compress_ms,decompress_ms,compress_mib_s,decompress_mib_s,comp_mem_bytes,decomp_mem_bytes,ok,note
zragf,zlib,9,sprite_palette.png,file,png,tiny,860,108,0.125581,0.000,0.000,0.000,0.000,375828,169800,1,ok
zlib,zlib,9,sprite_palette.png,file,png,tiny,860,103,0.119767,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,9,sprite_palette.png,file,png,tiny,860,108,0.125581,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,1,strip_rgb.tiff,file,tiff,tiny,908,585,0.644273,0.000,0.000,0.000,0.000,376212,169896,1,ok
zlib,zlib,1,strip_rgb.tiff,file,tiff,tiny,908,584,0.643172,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,1,strip_rgb.tiff,file,tiff,tiny,908,585,0.644273,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,6,strip_rgb.tiff,file,tiff,tiny,908,584,0.643172,0.000,0.000,0.000,0.000,376212,169896,1,ok
zlib,zlib,6,strip_rgb.tiff,file,tiff,tiny,908,582,0.640969,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,6,strip_rgb.tiff,file,tiff,tiny,908,585,0.644273,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,9,strip_rgb.tiff,file,tiff,tiny,908,584,0.643172,0.000,0.000,0.000,0.000,376212,169896,1,ok
zlib,zlib,9,strip_rgb.tiff,file,tiff,tiny,908,582,0.640969,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,9,strip_rgb.tiff,file,tiff,tiny,908,585,0.644273,0.000,0.000,0.000,0.000,-1,-1,1,ok
