preset,old_peak_fs,new_peak_fs,old_centroid_hz,new_centroid_hz,centroid_delta_hz,old_high5_ratio,new_high5_ratio,old_tail_ms,new_tail_ms,tail_delta_ms
pistol_empty,0.931549072265625,0.94415283203125,8543.99863884967,9745.602554580728,1201.603915731057,0.4255410740915721,0.6291655586255271,23.174603174603174,26.89342403628118,3.7188208616780045
pistol_handling,0.687774658203125,0.7828369140625,8409.463288278688,9400.418632243809,990.9553439651208,0.3983384936101947,0.5382801183732554,53.197278911564624,58.79818594104309,5.6009070294784635
magnum_empty,0.9097900390625,0.94384765625,5211.087043136169,6858.29913554391,1647.2120924077408,0.0730865642052905,0.16445665463825143,49.1609977324263,55.804988662131514,6.643990929705211
magnum_latch,0.84625244140625,0.905181884765625,5777.191500675465,7187.9426712041695,1410.7511705287043,0.09719619092630735,0.2100624438910825,56.961451247165535,62.49433106575963,5.532879818594097
sniper_empty,0.858978271484375,0.922454833984375,8205.525678189531,9195.235453550844,989.7097753613125,0.30102072431863885,0.42696799702799365,27.551020408163264,33.333333333333336,5.782312925170071
sniper_bolt_dry,0.911163330078125,0.927276611328125,6078.650235533396,7743.4024503156015,1664.7522147822056,0.14617879610670304,0.28963052705025133,197.43764172335602,202.19954648526078,4.761904761904759
smg_empty,0.92974853515625,0.94580078125,7349.289933053007,8713.696170784979,1364.4062377319715,0.2658649541133418,0.39656069871839,28.707482993197278,32.426303854875286,3.718820861678008
smg_selector,0.824371337890625,0.93096923828125,9769.355030984663,10932.459859613955,1163.1048286292917,0.495186159666901,0.6813558188782863,17.64172335600907,21.33786848072562,3.6961451247165513
launcher_empty,0.917816162109375,0.91741943359375,2793.7818405896114,3735.22407841495,941.4422378253385,0.004978877628960698,0.00963454112610047,71.97278911564625,82.94784580498866,10.97505668934241
launcher_latch,0.908477783203125,0.921417236328125,3178.7687006163246,4157.651901693563,978.883201077238,0.007419837104682691,0.015236212266338992,72.9251700680272,88.00453514739229,15.07936507936509
shotgun_empty,0.929962158203125,0.94329833984375,5575.025999639187,7141.328692139397,1566.3026925002105,0.08408241429440261,0.17018825795425158,41.76870748299319,49.0249433106576,7.256235827664405
shotgun_safety,0.799346923828125,0.90081787109375,9539.558716736869,10222.718486143387,683.1597694065185,0.4891353062251095,0.618978147305737,19.97732426303855,23.197278911564624,3.2199546485260733
